word,meaning,description
Gamble,도박을 하다,"Gamble... Gamble... 이 표현은 동사로 '도박을 하다', 명사로 '도박'이라는 뜻입니다. '놀이, 오락'을 뜻하던 고대 영어 'gamen(game의 어원)'에서 파생되었어요. 단순한 놀이가 운에 돈을 거는 위험한 행위로 의미가 바뀐 흥미로운 케이스죠. 영화에서는 'No, you hate to gamble.' 이 문장은 '아냐, 당신 도박 싫어하지.'라는 뜻입니다. Gamble, 도박하다."
Nervous,"불안해하는, 신경의","Nervous... Nervous... 이 표현은 형용사로 '불안해하는' 또는 '신경의'라는 뜻입니다. '신경'을 뜻하는 'nerve'에 '~이 많은'을 뜻하는 접미사 '-ous'가 붙었어요. 온몸의 신경이 곤두서서 극도로 예민하고 불안한 상태를 표현할 때 씁니다. 영화에서는 'You're having a nervous breakdown, that's what's happening.' 이 문장은 '당신 신경쇠약에 걸린 거야, 그게 무슨 일인지 알아?'라는 뜻입니다. Nervous, 불안해하는."
Imaginary,"상상의, 가상의","Imaginary... Imaginary... 이 표현은 형용사로 '상상의' 또는 '가상의'라는 뜻입니다. '이미지, 상'을 뜻하는 'image'에 관련된 것을 나타내는 접미사 '-ary'가 합쳐졌어요. 현실이 아니라 마음속으로만 그려낸 가짜라는 뜻입니다. 영화에서는 'Come on, who hasn't sat in the john, had an imaginary interview on Seahaven Tonight?' 이 문장은 '왜, 누구나 화장실에 앉아서 '씨헤이븐 투나잇' 쇼 인터뷰하는 상상 정돈 해보잖아?'라는 뜻입니다. Imaginary, 상상의."
Limitation,"한계, 제한","Limitation... Limitation... 이 표현은 명사로 '한계' 또는 '제한'이라는 뜻입니다. '경계선, 오솔길'을 뜻하는 라틴어 'limes(limit)'에 명사형 접미사 '-ation'이 붙었어요. 내가 넘어갈 수 없도록 딱 그어진 선, 즉 능력이나 범위의 끝을 뜻하죠. 영화에서는 'You've got to know your limitations, Truman.' 이 문장은 '너도 네 한계를 알아야지, 트루먼.'라는 뜻입니다. Limitation, 한계."
Terrified,겁에 질린,"Terrified... Terrified... 이 표현은 형용사로 '겁에 질린'이라는 뜻입니다. '공포'를 뜻하는 'terror'에 '~하게 만들다'라는 '-fy'가 붙은 동사 'terrify(겁먹게 하다)'의 과거분사형이에요. 그냥 무서운(scared) 수준을 넘어 온몸이 얼어붙을 정도로 극도의 공포를 느낄 때 씁니다. 영화에서는 'Truman's been terrified of the water ever since.' 이 문장은 '트루먼은 그 이후로 물을 무서워하게 됐으니까요.'라는 뜻입니다. Terrified, 겁에 질린."
Corporation,"기업, 회사, 법인","Corporation... Corporation... 이 표현은 명사로 '기업' 또는 '법인'이라는 뜻입니다. '몸, 신체'를 뜻하는 라틴어 'corpus'에서 유래했어요. 법적으로 여러 사람이 모여 하나의 몸집을 가진 인격체(법인)로 인정받은 큰 규모의 회사를 뜻하는 필수 비즈니스 단어입니다! 영화에서는 'I believe Truman is the first child to have been legally adopted by a corporation.' 이 문장은 '참고로 트루먼은 법적으로 기업에 입양된 최초의 아이입니다.'라는 뜻입니다. Corporation, 기업."
Wardrobe,"옷장, 의상","Wardrobe... Wardrobe... 이 표현은 명사로 '옷장' 또는 '의상'이라는 뜻입니다. '지키다, 보호하다'를 뜻하는 'ward'와 '옷, 가운'을 뜻하는 'robe'가 합쳐졌어요. 소중한 옷을 먼지로부터 보호해 두는 가구라는 아주 귀여운 유래를 가진 단어랍니다. 영화에서는 'From the actors' wardrobe, food products, to the very homes they live in.' 이 문장은 '배우들의 의상, 음식, 심지어 그들이 사는 집까지도요.'라는 뜻입니다. Wardrobe, 옷장/의상."
Guilty,"죄책감이 드는, 유죄의","Guilty... Guilty... 이 표현은 형용사로 '죄책감이 드는' 또는 '유죄의'라는 뜻입니다. '범죄, 죄'를 뜻하는 고대 영어 'gylt(guilt)'에 형용사를 만드는 꼬리표 '-y'가 붙었어요. 법정에서 죄가 있다고 판결받을 때나, 스스로 양심에 찔려 찝찝할 때 모두 씁니다. 영화에서는 'Don't you ever feel guilty?' 이 문장은 '죄책감도 안 느껴져?'라는 뜻입니다. Guilty, 죄책감이 드는."
Performer,"연기자, 공연자","Performer... Performer... 이 표현은 명사로 '연기자' 또는 '공연자'라는 뜻입니다. '완전히'를 뜻하는 'per-'와 '형태를 잡다'를 뜻하는 'form'이 만나 '완수하다, 공연하다'라는 뜻의 'perform'이 되었고, 거기에 사람을 뜻하는 '-er'이 붙었죠. 무대를 완벽하게 수행해 내는 사람입니다. 영화에서는 'He's not a performer. He's a prisoner.' 이 문장은 '그는 배우가 아니야. 죄수지.'라는 뜻입니다. Performer, 연기자."
Ambition,"야망, 포부","Ambition... Ambition... 이 표현은 명사로 '야망' 또는 '포부'라는 뜻입니다. '양쪽으로, 주변을(ambi)'과 '가다(ire)'가 합쳐졌어요. 고대 로마 시대에 공직 후보자들이 표를 얻으려고 이리저리 돌아다니며 열성을 보이던 모습에서 '야망'이라는 뜻이 생겨났습니다! 영화에서는 'If his was more than just a vague ambition,' 이 문장은 '그저 막연한 꿈이 아니라,'라는 뜻입니다. Ambition, 야망."
Determined,"단호한, 결심한","Determined... Determined... 이 표현은 형용사로 '단호한' 또는 '결심한'이라는 뜻입니다. '완전히(de-)'와 '끝내다, 경계선을 긋다'를 뜻하는 'termin(terminus)'이 만났어요. 마음속에 분명하게 선을 긋고 흔들림 없이 확고하게 결정을 내린 상태를 말하죠. 영화에서는 'if he was absolutely determined to discover the truth, there's no way we could prevent him.' 이 문장은 '진실을 알아내겠다는 확고한 의지만 있다면 우리가 막을 방법은 없어요.'라는 뜻입니다. Determined, 단호한."
Drown,"물에 빠져 죽다, 익사하다","Drown... Drown... 이 표현은 동사로 '물에 빠져 죽다' 또는 '익사하다'라는 뜻입니다. 고대 영어로 '가라앉다'를 뜻하는 'druncnian'에서 왔는데, '마시다(drink)'와 뿌리가 같아요. 물을 잔뜩 들이마시고 가라앉게 되는 무서운 상황을 연상시키는 단어입니다. 영화에서는 'Shut up! He's gonna drown, and he doesn't even care.' 이 문장은 '입 다물어! 물에 빠져 죽을 텐데, 상관도 안 하잖아요.'라는 뜻입니다. Drown, 물에 빠져 죽다."
